lemma	DB gloss	deck gloss	proposed Spanish
ἐξέρχομαι	I come out, go out	go out, come out	salir, marcharse
εὐαγγέλιον	good news, gospel	gospel, the Good News	evangelio, buena noticia
ἵνα	so that, in order that	in order that, so that	para que, a fin de que
Ἰουδαῖος	Jew, Jewish	Jewish, Judean	judío, judeo
καθώς	just as, even as	just as, as	así como, tal como
κατά	according to; against	(with gen.) down, against; (with acc.) according to	(con gen.) hacia abajo, contra; (con ac.) según
κόσμος	world, universe	the world, universe	el mundo, el universo
λαμβάνω	I take, receive	receive, take	recibir, tomar
λόγος	word, message, reason	word, speech	palabra, discurso
μαθητής	disciple, student	learner, disciple	aprendiz, discípulo
μέν	on the one hand, indeed	indeed, on the one hand	en verdad, por una parte
νόμος	law, Torah	law	ley
νῦν	now, at this time	now, already	ahora, ya
ὁδός	road, way, journey	way, road, journey	camino, vía, viaje
ὅταν	whenever, when	when, whenever	cuando, siempre que
οὐρανός	heaven, sky	sky, heaven	cielo
παρά	beside, from, with	(with gen.) from; (with dat.) at, by; (with acc.) near	(con gen.) de parte de; (con dat.) junto a, al lado de; (con ac.) cerca de
πατήρ	father	father, ancestor	padre, antepasado
περί	about, concerning	(with gen.) about, concerning; (with acc.) around	(con gen.) acerca de, sobre; (con ac.) alrededor de
πιστεύω	I believe, trust	believe in, have faith in, trust	creer en, confiar en
πίστις	faith, trust, belief	faith, belief, trust	fe, confianza
πνεῦμα	spirit, Spirit, wind	wind, breath, spirit	viento, aliento, espíritu
ποιέω	I do, make	do, make	hacer, realizar
πρῶτος	first	first, before	primero
σύν	with, together with	(with dat.) with	(con dat.) con
τέκνον	child	child, descendent	hijo, niño, descendiente
τότε	then, at that time	then	entonces
ὑπέρ	for, on behalf of; above	(with gen.) on behalf of; (with acc.) above	(con gen.) a favor de; (con ac.) por encima de
ὑπό	by, under	(with gen.) by; (with acc.) under	(con gen.) por; (con ac.) debajo de
υἱός	son	son, descendent	hijo, descendiente
χάρις	grace, favor	grace, favor, kindness	gracia, favor, bondad
ἀγαθός	good, beneficial	good	bueno
ἄγω	I lead, bring	lead	conducir, llevar
αἰώνιος	eternal, everlasting	eternal	eterno
αἰών	age, eternity, world	age, eternity	edad, siglo, eternidad
ἁμαρτάνω	I sin, miss the mark	sin	pecar
ἀναβαίνω	I go up, ascend	go up, embark, ascend	subir, ascender
ἀνίστημι	I raise; I rise	raise, rise, stand up	levantar, levantarse, resucitar
ἄξιος	worthy, deserving	worthy, fit	digno, merecedor
ἀρχή	beginning, ruler	beginning; ruler, authority	principio; gobernante, autoridad
ἄρχω	I rule; I begin	rule, be first; (mid.) begin	gobernar, ser el primero; (med.) comenzar
ἄρχων	ruler, leader	ruler, lord, authority	gobernante, jefe, autoridad
βαπτίζω	I baptize, immerse	dip, baptize	sumergir, bautizar
βάλλω	I throw, put	throw, place	arrojar, poner
γεννάω	I beget, give birth	bring forth, give birth to	engendrar, dar a luz
δαιμόνιον	demon	demon, evil spirit	demonio, espíritu maligno
δεῖ	it is necessary	it is necessary, one must	es necesario, hay que
δέχομαι	I receive, accept	take, receive	recibir, aceptar
δικαιόω	I justify, declare righteous	make righteous, justify	justificar, declarar justo
δοξάζω	I glorify, honor	glorify, honor, praise	glorificar, honrar, alabar
δόξα	glory, honor	glory, splendor, brightness	gloria, esplendor, resplandor
ἐκβάλλω	I cast out, drive out	throw out, expel, cast	echar fuera, expulsar
ἑτοιμάζω	I prepare, make ready	make ready, prepare	preparar, disponer
εὐαγγελίζω	I preach good news	preach the Good News	anunciar la buena noticia
ζητέω	I seek, look for	seek, look for, ask	buscar, pedir
θέλω	I will, want, wish	will, wish, desire	querer, desear
ἰσχύω	I am strong, able	am strong, able; am powerful	ser fuerte, poder
καθαρός	clean, pure	clean, pure, unstained	limpio, puro
καλέω	I call, name, invite	call, invite	llamar, invitar
καλός	good, beautiful, noble	beautiful, good	hermoso, bueno
κρίνω	I judge, decide	judge, decide	juzgar, decidir
κρίσις	judgment, decision	judging, judgment	juicio
μαρτυρέω	I testify, bear witness	testify, bear witness	testificar, dar testimonio
μέλλω	I am about to, intend	am about to, intend	estar a punto de, ir a
μένω	I remain, stay, abide	remain, abide, stay	permanecer, quedarse
μόνος	only, alone	alone, only	solo, único
νεκρός	dead, corpse	dead, a corpse	muerto, cadáver
οἶκος	house, household	house, household, dwelling	casa, hogar, familia
ὅλος	whole, entire, all	entire, whole, complete	entero, todo, completo
παιδίον	child, infant	infant, young child	niño pequeño, criatura
παρακαλέω	I urge, exhort, comfort	comfort, invite, exhort	consolar, exhortar, invitar
παρουσία	coming, presence	presence, coming, arrival, advent	presencia, venida, advenimiento
πέμπω	I send	send	enviar
πλήρης	full	full, complete	lleno, completo
πληρόω	I fill, fulfill	fill, make full, finish	llenar, cumplir, completar
πρεσβύτερος	elder, older	old; (as noun) elder	anciano; (sust.) presbítero
προσέρχομαι	I come to, approach	come near, go to, approach	acercarse, aproximarse
προσεύχομαι	I pray	pray	orar, rezar
προσκυνέω	I worship, bow down	worship	adorar, postrarse ante
σωτηρία	salvation, deliverance	deliverance, salvation	salvación, liberación
τηρέω	I keep, guard, observe	keep, guard, observe	guardar, observar, custodiar
ὑπάρχω	I am, exist	am, exist, be present	ser, existir, estar presente
φέρω	I carry, bring, bear	carry, bear	llevar, traer, soportar
φοβέομαι	I fear, am afraid	fear, am terrified	temer, tener miedo
τίθημι	I place, put, set	put, place	poner, colocar
φυλακή	prison, guard, watch	guard, prison, watch	guardia, cárcel, vigilia
φωνή	voice, sound	sound, voice	sonido, voz
φῶς	light	light, source of light	luz
χαίρω	I rejoice, am glad	rejoice, am glad	alegrarse, regocijarse
ὥρα	hour, time, moment	hour, season	hora, momento
σῴζω	I save, rescue	save, heal	salvar, sanar
πολύς	much, many, great	much, many, often	mucho, muchos, a menudo
μετά	with; after	(with gen.) with; (with acc.) after, behind	(con gen.) con; (con ac.) después de, detrás de
