lemma	freq	ours	OpenGNT
κομίζω	11	traer, recibir, recuperar	habiéndome llevado (1) · habiendo llevado (1) · obtenga (1)
πραΰτης	11	mansedumbre, humildad	apacibilidad (8) · de apacibilidad (2) · de apacibilidad? (1)
πυνθάνομαι	11	preguntar, informarse	estaba inquiriendo (5) · estaban inquiriendo (2) · Inquirió (1)
σπουδάζω	11	esforzarse, apresurarse	Procura diligentemente (3) · procuren diligentemente (2) · procuré diligentemente (1)
σφόδρα	11	muchísimo, en gran manera	excesivamente (11)
τελευτάω	11	morir, acabar	finalizó (3) · esté finalizando (2) · Habiendo finalizado (1)
χιτών	11	túnica	prendas interiores de vestir (6) · prenda de vestir interior (5)
ἀπιστία	11	incredulidad, infidelidad	falta de confianza (10) · carente de confianza (1)
ἐξουθενέω	11	despreciar, menospreciar	considerando como nada (1) · Habiendo considerado como nada (1) · habiendo sido considerado como nada (1)
ἐπισκέπτομαι	11	visitar, cuidar de	vieron sobre (2) · vió sobre (1) · verá sobre (1)
πλατύς	10	calles	caminos anchos (6) · camino ancho (3) · ancha (1)
μνῆμα	10	sepulcro, monumento	tumba conmemorativa (5) · tumbas conmemorativas (3)
πλεονεξία	10	codicia, avaricia	deseo de tener más (6) · (deseos) de tener más (1) · de deseo de tener más (1)
πόρνος	10	fornicario	individuos sexualmente inmorales (2) · que cometen inmoralidad sexual (2) · individuo sexualmente inmoral (2)
σιωπάω	10	callar, enmudecer	estaba silencioso (2) · estaban siendo silenciosos (2) · (se) silencien (1)
σύνδουλος	10	consiervo	coesclavo (6) · coesclavos (4)
φείδομαι	10	perdonar, abstenerse	eximió (4) · estando eximiendo (2) · estoy eximiendo (2)
χωρέω	10	dar cabida, contener, admitir	está haciendo lugar (2) · estar haciendo lugar (2) · están haciendo lugar (1)
ἀσέλγεια	10	libertinaje, lascivia	conducta desvergonzada (6) · a actos de conducta desvergonzada (3) · actos de conducta desvergonzada (1)
βέβαιος	9	seguro	estable (6) · estabilizada (1) · más estable (1)
γνώμη	9	juicio	opinión (5) · manera de pensar (3) · de vista mental (1)
διατρίβω	9	quedarse	estaba gastando (tiempo) (2) · gastaron (1) · Estaban gastando (1)
εὐδοκία	9	buena voluntad	pensar bien de (7) · de pensar bien de (2)
καθαιρέω	9	bajar	habiendo tomado hacia abajo (4) · tomar hacia abajo (1) · Tomó hacia abajo (1)
κατάγω	9	traer	habiendo conducido hacia abajo (2) · condujeron hacia abajo (1) · conduzca hacia abajo (1)
κλαυθμός	9	llorar	llanto (9)
κραυγάζω	9	gritar	Alzaron voz (2) · alzaron voz (2) · alzará voz (1)
κρούω	9	llamar a la puerta	estando tocando (3) · estén tocando (2) · habiendo tocado (1)
μεταπέμπω	9	convocar	envía por (2) · envió por (2) · habiendo sido enviado para (venir) (1)
προέρχομαι	9	avanzar	habiendo venido hacia (4) · vinieron hacia (adelante de) (1) · irá hacia (adelante) (1)
στολή	9	túnicas	prendas de vestir largas (6) · prenda de vestir (2) · prenda de vestir larga (1)
φόνος	9	homicidio	asesinato (4) · asesinatos (3) · de asesinato (2)
ἀλείφω	9	ungido	untó (2) · habiendo untado (2) · úntate (1)
ἀναγκάζω	9	obligar	puso bajo necesidad (2) · pon bajo necesidad (1) · estaba poniendo bajo necesidad (1)
ἀνατέλλω	9	amanecer	habiendo salido (2) · (se) levantó (1) · está levantando (1)
ἀπολαμβάνω	9	quitar	habiendo tomado desde (1) · reciban de regreso (1) · recibió de regreso (1)
ἀποστρέφω	9	apartarse de	seas hecho dar vuelta (1) · Da vuelta (1) · estando amotinando (1)
ἀσεβής	9	impío	irreverentes (4) · irreverente (2) · a irreverentes (2)
ἔσω	9	dentro	interior (9)
ὑστέρημα	9	necesidad	faltante (6) · faltantes (2) · faltantes (cosas) (1)
βεβαιόω	8	confirmar	estando estabilizando (2) · fue estabilizado (2) · estabilizar (1)
βοῦς	8	bueyes	toros (3) · toro (2) · de toros (1)
βρέφος	8	niño de pecho	bebé (4) · bebés (3) · infancia (1)
διηγέομαι	8	contar	relataron (2) · relató (2) · relaten (1)
εἰσφέρω	8	conducir	lleves hacia dentro (2) · lleven hacia dentro (2) · llevar hacia adentro (1)
εὐλογητός	8	bienaventurado	Bendito (4) · bendito (3) · Bendito? (1)
καλύπτω	8	oculto	ha sido encubierto (2) · está cubriendo (2) · estar siendo cubierta (1)
κοινωνέω	8	contribuir	estando teniendo en común (1) · compartieron (1) · Esté teniendo en común (1)
κύκλῳ	8	alrededor	a círculo (7) · (en) círculo (1)
μυριάς	8	miríadas	diez miles (4) · a diez miles (2) · de diez mil (1)
πάντως	8	en absoluto	De todas maneras (3) · de todas maneras (3) · enteramente (2)
περιτίθημι	8	vestir	habiendo puesto alrededor (3) · puso alrededor (2) · pusieron alrededor (1)
προΐστημι	8	administrar	estando poniéndose de pie ante (2) · estando poniéndose de pie hacia (2) · estar poniéndose de pie hacia (2)
προσπίπτω	8	postrarse ante	cayó hacia (5) · cayeron hacia (1) · estaban cayendo hacia (1)
σαπρός	8	malo	podrido (6) · podridos (1) · podrida (1)
συγκαλέω	8	convocar	están llamando juntando (1) · Habiendo llamado juntamente (1) · está llamando juntamente (1)
συμβαίνω	8	suceder	estar aconteciendo (1) · han acontecido (1) · ha acontecido (1)
τάσσω	8	designado	pusieron en orden (2) · ordenó (1) · estando siendo puesto en orden (1)
χάραγμα	8	marca	(grabado) cincelado (7) · a (escultura) cincelada (1)
ἀγωνίζομαι	8	esforzarse	estando luchando vigorosamente (3) · Estén agonizando luchando vigorosamente (1) · estaban agonizando luchando vigorosamente (1)
ἀρκέω	8	saciarse	sea suficiente (1) · estén siendo quedar satisfechos (1) · están siendo suficientes (1)
ἄμωμος	8	irreprensible	sin mancha (6) · sin tacha (2) · especia aromática de la India (1)
ἐκφέρω	8	sacar	habiendo llevado hacia fuera (2) · llevó hacia fuera (1) · traigan (1)
ἐνέργεια	8	obrar	operación en (8)
ἐναντίος	8	contrario	opuesto (4) · (lugar) opuesto (2) · opuestos (1)
ἐξαιρέω	8	arrancar	alza hacia fuera (2) · alzó hacia fuera (2) · alzar hacia fuera (1)
ὀξύς	8	agudo	filosa (7) · Filosos (1)
ὀργίζω	8	enojarse	habiendo sido hecho enfurecerse (2) · fue hecho enfurecerse (2) · estando siendo hecho enfurecerse (1)
ὀσφῦς	8	cintura	lomos (5) · lomo (3)
ῥίπτω	8	desechar	habiendo arrojado (2) · han sido lanzadas (en dispersión) (1) · arrojaron (1)
βραχύς	7	un poco	corto (tiempo) (4) · corta (pieza) (1) · corto (1)
δηλόω	7	dar a entender	Fue hecho evidente (1) · hará evidente (1) · habiendo evidenciado (1)
διαστρέφω	7	pervertido	ha sido torcida por completo (2) · estando torciendo completamente (2) · torcer completamente (1)
διατίθημι	7	hacer	pactaré (2) · estoy pactando (1) · pactó (1)
καθαρισμός	7	purificación	limpieza (7)
κλίνω	7	poner	esté inclinando (2) · estar declinando (1) · estando inclinando (1)
κτάομαι	7	llevar consigo	adquieran (2) · adquirir (2) · estoy adquiriendo (1)
κυριεύω	7	gobernar	están enseñoreando (1) · está siendo amo sobre (él) (1) · será amo sobre (1)
λάμπω	7	brillar	resplandeció (3) · está alumbrando (1) · resplandezca (1)
πάλαι	7	hace mucho	de antiguo (6) · ¿De antiguo (1)
πρέπω	7	conveniente	está siendo apropiado (3) · estando siendo apropiado (1) · ¿Estando siendo apropiado (1)
προσμένω	7	continuar	están permaneciendo hacia (2) · estar permaneciendo hacia (2) · habiendo permanecido hacia (1)
προστάσσω	7	mandar	ordenó (4) · han sido ordenadas (1) · Ordenó (1)
προσφωνέω	7	gritar	emitió voz hacia (3) · están emitiendo voz (1) · emitió voz hacia (sí) (1)
σπεῖρα	7	cohorte	compañía de soldados (2) · cuerpo de soldados (2) · banda (2)
στοιχεῖον	7	rudimentos	cosas elementales (5) · elementos (2)
συμβιβάζω	7	demostrar	estando siendo hecho ir juntamente (2) · estando haciendo venir juntamente (1) · estando haciendo ir juntamente (1)
συντρίβω	7	magullado	ha sido estropeada (1) · haber sido quebrados (1) · habiendo quebrado (1)
τάχος	7	prontitud	rapidez (8)
φθάνω	7	venir	alcanzó (3) · alcanzamos (2) · Alcanzó (1)
φιμόω	7	callar	Seas con bozal (2) · pondrás bozal (2) · le fue puesto bozal (1)
φονεύς	7	homicidas	asesinos (4) · asesino (3)
φυσιόω	7	envanecerse	han sido hinchados (2) · estén siendo hinchados (1) · fueron hinchados (1)
χρηστός	7	género, clase	agradablemente bueno (4) · bondad (1) · agradablemente buenos (1)
ἀγέλη	7	manada	rebaño (7)
ἀνταποδίδωμι	7	pagar	será recompensado (2) · entregaré en cambio equivalente (2) · dar de regreso en cambio (2)
ἀτιμάζω	7	tratar con afrenta	deshonraron (2) · habiendo deshonrado (1) · están deshonrando (1)
ἀφθαρσία	7	inmortalidad	incorrupción (8)
ἐκλογή	7	elección	selección (6) · de selección (1)
ἐνίστημι	7	lo presente	ha puesto de pie (2) · ha puesto de pie en (2) · (cosas) han puesto de pie en (1)
ἐνδυναμόω	7	ser fortalecido	estaba siendo hecho más poderoso (1) · fue hecho poderoso (1) · estén siendo hechos poderosos (1)
ἐπίκειμαι	7	recostado	estando yaciendo sobre (2) · estar yaciendo sobre (1) · estaban yaciendo sobre (1)
ἐπιστάτης	7	maestro, señor	Instructor (7)
ἐπιταγή	7	mandamiento	imposición (7)
ἐριθεία	7	egoísmo	contención facciosa (4) · altercados (2) · contenciones facciosas (1)
ἔκστασις	7	asombro	éxtasis (5) · a éxtasis (1) · de éxtasis (1)
ὑποπόδιον	7	estrado	a escabel (4) · escabel (3)
ῥήγνυμι	7	reventar	rasgará (2) · despedacen (1) · están siendo rasgadas (1)
αἰγιαλός	6	orilla	playa (6)
βάρβαρος	6	extranjero	bárbaro (3) · bárbaros (2) · a bárbaros (1)
βδέλυγμα	6	abominación	cosa repugnante (4) · de cosas repugnantes (1) · cosas repugnantes (1)
βουλεύω	6	deliberar	tomará consejo (1) · tomaron consejo (1) · Tomaron consejo (1)
διεγείρω	6	despertado	habiendo sido levantado completamente (1) · levantaron completamente (1) · habiendo sido levantado (1)
θαρρέω	6	confiar	estoy teniendo buen ánimo (2) · Estando siendo de buen ánimo (1) · Estamos siendo de buen ánimo (1)
κάρφος	6	astilla	paja (6)
καταπέτασμα	6	velo	cortina (6)
κιβωτός	6	arca	caja (5) · de caja (1)
κραυγή	6	llanto	clamor (4) · a clamor (1) · gritería (1)
κόφινος	6	canastas	cestas (6)
λανθάνω	6	ocultarse	esconder (1) · (se) escondió (1) · estar escapando noticia de (1)
μάστιξ	6	aflicción	azotes (3) · azote (2) · azotar (1)
μέριμνα	6	afanes	ansiedad (3) · ansiedades (3)
πήρα	6	bolsa	alforja (6)
παρατηρέω	6	vigilar	estaban observando detenidamente (1) · Estaban observando detenidamente (1) · estando observando detenidamente (1)
πεποίθησις	6	confianza	certeza (4) · Certeza (1) · a certeza (1)
περιάγω	6	ir	estaba yendo alrededor (3) · están yendo alrededor (1) · estaba conduciendo alrededor (1)
πληροφορέω	6	cumplido	han sido plenamente persuadidos (1) · habiendo sido plenamente persuadido (1) · estando siendo convencido plenamente (1)
πρᾶξις	6	obras	prácticas (3) · práctica (1) · acción (1)
πυρετός	6	fiebre	ardor febril (4) · a ardor febril (1) · a ardores febriles (1)
πυρόω	6	refinado	ha sido encendido (2) · estar siendo en fuego (1) · estoy siendo en fuego? (1)
σημαίνω	6	significar	estando mostrando por señal (3) · mostró por señales (2) · señalizar (1)
σινδών	6	lienzo	lino fino (3) · prenda de vestir de lino fino (2) · (en) lino fino (1)
σκοπέω	6	considerar	estando poniendo atención (2) · Estén alerta (1) · estar poniendo los ojos sobre (1)
σπεύδω	6	apresurarse	habiendo dado prisa (3) · estaba dando prisa (1) · Date prisa (1)
στενάζω	6	gemir	estamos gimiendo (3) · gimió (1) · estando gimiendo (1)
συμβάλλω	6	meditar	estando echando juntas (1) · arrojar juntamente (1) · estaban echando (consejo) juntamente (1)
συμφωνέω	6	acordar	suenen juntos armoniosamente (1) · Habiendo sonado juntos armoniosamente (1) · sonaste armoniosamente junto (1)
συντέλεια	6	consumación	fin combinado (5) · de fin combinado (1)
συντελέω	6	cumplirse	estar siendo finalizado combinadamente (1) · habiendo sido concluídos (1) · habiendo concluído (1)
φαῦλος	6	maldad	detestable (2) · vil (2) · detestables (1)
χρῆμα	6	riquezas	utilizables (dinero) (5) · utilizable (dinero) (1)
ψυχικός	6	natural	físico (3) · perteneciente a (deseos del) alma (2) · Físico (1)
ἀναπληρόω	6	cumplirse	está siendo llenada a plenitud completamente (1) · estando llenando completamente (1) · llenaron completamente (1)
ἀπωθέω	6	rechazar	empujó de sí (2) · echó de sí (1) · empujaron de sí (1)
ἀσέβεια	6	impiedad	irreverencia (2) · irreverencias (2) · de irreverencia (2)
ἄκρον	6	confines	extremidades (2) · extremidad (2) · punta (2)
ἐνοικέω	6	morada	estando habitando dentro (1) · Habitaré dentro (1) · esté habitando dentro (1)
ἐξαυτῆς	6	enseguida	ahora mismo (5) · Ahora mismo (1)
ἐξηγέομαι	6	relatar	estaban explicando detalladamente (1) · explicó detalladamente (1) · habiendo explicado detalladamente (1)
ἐργασία	6	negocio	ocupación (3) · ganancia (3)
ἔνι	6	hay	está siendo dentro (6)
ὀσμή	6	fragancia	olor (5) · perfume (1)
ὑποδείκνυμι	6	advertir de antemano	mostró (2) · mostraré (2) · Mostraré (1)
ὑπόδειγμα	6	ejemplo	Modelo-patrón (2) · modelo-patrón (2) · a modelo-patrón (1)
ὕπνος	6	dormir	sueño (4) · (de) sueño (1) · a sueño (1)
γένεσις	5	nacimiento	origen (4) · de origen (1)
δή	5	ciertamente	realmente (5)
εἴσοδος	5	venir	camino hacia dentro (3) · entrada (2)
εὐσχήμων	5	prominente	distinguidas (2) · distinguido (1) · decoroso (1)
ζήτημα	5	pregunta	disputas (4) · discusión (1)
ζόφος	5	tinieblas	densa oscuridad (4) · de densa oscuridad (1)
καθεξῆς	5	con método	en orden de secuencia (5)
κενόω	5	quedar sin efecto	ha sido hecha vacía (1) · sea hecho vacío (1) · hará vacía (1)
μεθίστημι	5	quitar	sea transferido (1) · habiendo transferido (1) · transfirió (1)
μετασχηματίζω	5	aplicar	cambié de forma (1) · se están convirtiendo (1) · está convirtiéndose (1)
μωρία	5	insensatez	necedad (5)
μῦθος	5	fábulas	mitos (4) · a mitos (1)
πένθος	5	luto	lamento (5)
παραγγελία	5	por mandato	instrucción (2) · (con) instrucción (1) · orden (1)
παροιμία	5	alegoría	proverbio (3) · proverbios (2)
πατέω	5	pisar	estar hollando (1) · estando siendo hollada (1) · hollarán (1)
περίκειμαι	5	ser puesto	está atando alrededor (1) · está atando circundando (1) · estoy teniendo atada alrededor (1)
περιποίησις	5	obtener	adquisición (5)
πλάνος	5	engañador	errantes (3) · errante (2)
πλεονεκτέω	5	ser engañados	seamos alcanzados (1) · tomamos ventaja (codiciosamente) (1) · tomé ventaja (codiciosamente) (1)
πλευρά	5	lado	costado (5)
προβαίνω	5	seguir	habiendo dado pasos hacia adelante (2) · ha avanzado (2) · han avanzado (1)
προθυμία	5	prontitud	mente dispuesta (4) · colocación hacia (delante de sí) (1)
προσάγω	5	ser llevado	Conduce hacia (1) · habiendo conducido hacia (1) · estar conduciendo hacia (1)
σκηνόω	5	morada	habitó en tienda (1) · extenderá el tabernáculo (1) · habitando en tiendas (1)
συνεργέω	5	colaborar	estando obrando con (1) · está obrando juntamente (1) · estando obrando juntamente (1)
φωτεινός	5	luz	luminoso (4) · luminosa (1)
φόρος	5	tributo	impuesto (3) · impuestos (2)
χαλκός	5	dinero	cobre (4) · de cobre (1)
χρονίζω	5	tardar	Está tomando su tiempo (2) · Estando tomando su tiempo (1) · estar tomando su tiempo (1)
ἀετός	5	buitres	águilas (2) · águila (2) · a águila (1)
ἀκαταστασία	5	desorden	condiciones inestables (3) · de condición inestable (1) · condición inestable (1)
ἀνακράζω	5	clamar	gritó a voz en cuello (2) · gritaron a voz en cuello (1) · habiendo gritado a voz en cuello (1)
ἀντίδικος	5	adversario	oponente (5)
ἀρετή	5	excelencia	virtud (4) · virtudes (1)
ἀσφαλής	5	hechos	asegurada (cosa) (3) · seguro (1) · segura (1)
ἄμεμπτος	5	irreprensible	sin culpa (4) · sin falta (1)
ἄνεσις	5	facilidad	relajación (4) · alivio (1)
ἅρπαξ	5	estafadores	arrebatadores violentos (3) · a arrebatadores violentos (1) · arrebatador violento (1)
ἐκδύω	5	desnudar	habiendo quitado (prendas de vestir) (2) · quitaron (2) · ser quitada (1)
ἐκμάσσω	5	enjugar	secó (2) · estaba secando (1) · habiendo secado (1)
ἐκτρέπω	5	desviarse	fueron girados hacia fuera (1) · fueron giradas hacia fuera (1) · estando girando hacia fuera (1)
ἐλαύνω	5	ser llevado	estar impeliendo (1) · estaba siendo impelido (1) · Han impelido (1)
ἐντυγχάνω	5	suplicar	(se) está encontrando con (para abogar) (2) · (se) encontraron con (para hacer petición) (1) · (se) está encontrando con (para hablar) (1)
ἐπέχω	5	observar	estando teniendo sobre (2) · estaba teniendo sobre (1) · tuvo sobre (1)
ἐπίσκοπος	5	obispos	supervisor (3) · a supervisores (1) · supervisores (1)
ἐπιεικής	5	apacible	condescendiente (3) · condescendientes (2)
